movieId,vectorID,title,genres,tags,weight_rating,imdbId,page_content,Actors,Plot,Poster,Director,Language,Runtime
1,0,Toy Story (1995),"Adventure,Animation,Children,Comedy,Fantasy","adventure,animated,animation,cartoon,cgi,childhood,children,classic,clever,computer animation,cute,disney,disney animated feature,entertaining,family,feel-good,friendship,fun,fun movie,good,good soundtrack,great,great movie,heartwarming,imdb top 250,kids,kids and family,light,nostalgic,original,original plot,oscar (best animated feature),oscar winner,pixar,pixar animation,story,storytelling,technology,toys,unlikely friendships,very good,whimsical,witty",3.9045164697924513,tt0114709,"Movie's title: Toy Story (1995)
genres: Adventure,Animation,Children,Comedy,Fantasy
tags: adventure,animated,animation,cartoon,cgi,childhood,children,classic,clever,computer animation,cute,disney,disney animated feature,entertaining,family,feel-good,friendship,fun,fun movie,good,good soundtrack,great,great movie,heartwarming,imdb top 250,kids,kids and family,light,nostalgic,original,original plot,oscar (best animated feature),oscar winner,pixar,pixar animation,story,storytelling,technology,toys,unlikely friendships,very good,whimsical,witty
plot: A little boy named Andy loves to be in his room, playing with his toys, especially his doll named ""Woody"". But, what do the toys do when Andy is not with them, they come to life. Woody believes that his life (as a toy) is good. However, he must worry about Andy's family moving, and what Woody does not know is about Andy's birthday party. Woody does not realize that Andy's mother gave him an action figure known as Buzz Lightyear, who does not believe that he is a toy, and quickly becomes Andy's new favorite toy. Woody, who is now consumed with jealousy, tries to get rid of Buzz. Then, both Woody and Buzz are now lost. They must find a way to get back to Andy before he moves without them, but they will have to pass through a ruthless toy killer, Sid Phillips. 
actors: Tom Hanks, Tim Allen, Don Rickles
directors: John Lasseter
language: English
runtime: 81 min","Tom Hanks, Tim Allen, Don Rickles","A little boy named Andy loves to be in his room, playing with his toys, especially his doll named ""Woody"". But, what do the toys do when Andy is not with them, they come to life. Woody believes that his life (as a toy) is good. However, he must worry about Andy's family moving, and what Woody does not know is about Andy's birthday party. Woody does not realize that Andy's mother gave him an action figure known as Buzz Lightyear, who does not believe that he is a toy, and quickly becomes Andy's new favorite toy. Woody, who is now consumed with jealousy, tries to get rid of Buzz. Then, both Woody and Buzz are now lost. They must find a way to get back to Andy before he moves without them, but they will have to pass through a ruthless toy killer, Sid Phillips.",https://m.media-amazon.com/images/M/MV5BZTA3OWVjOWItNjE1NS00NzZiLWE1MjgtZDZhMWI1ZTlkNzYwXkEyXkFqcGc@._V1_SX300.jpg,John Lasseter,English,81 min
2,1,Jumanji (1995),"Adventure,Children,Fantasy","adventure,animals,big budget,childhood,children,computer game,entertaining,family,fantasy,fun,fun movie,good,jungle,kids,lions,original,special effects,video game",3.214918123309096,tt0113497,"Movie's title: Jumanji (1995)
genres: Adventure,Children,Fantasy
tags: adventure,animals,big budget,childhood,children,computer game,entertaining,family,fantasy,fun,fun movie,good,jungle,kids,lions,original,special effects,video game
plot: Jumanji, one of the most unique--and dangerous--board games ever, falls into the hands of the curious teen, Alan Parrish, in 1969. Mysterious and magical, the game strands the unsuspecting boy in the lush, savage forests of a mythical realm. Nearly three decades later, the game releases him before the awed eyes of the young orphaned siblings, Judy and Peter Shepherd. Now, the wild and incessant beat of the jungle's tribal drums is calling for the now-adult Alan and the other hesitant players, as the one who rolls the dice must never leave undone what the roll has started. Has anyone ever escaped from the game and Jumanji's formidable foes? 
actors: Robin Williams, Kirsten Dunst, Bonnie Hunt
directors: Joe Johnston
language: English, French
runtime: 104 min","Robin Williams, Kirsten Dunst, Bonnie Hunt","Jumanji, one of the most unique--and dangerous--board games ever, falls into the hands of the curious teen, Alan Parrish, in 1969. Mysterious and magical, the game strands the unsuspecting boy in the lush, savage forests of a mythical realm. Nearly three decades later, the game releases him before the awed eyes of the young orphaned siblings, Judy and Peter Shepherd. Now, the wild and incessant beat of the jungle's tribal drums is calling for the now-adult Alan and the other hesitant players, as the one who rolls the dice must never leave undone what the roll has started. Has anyone ever escaped from the game and Jumanji's formidable foes?",https://m.media-amazon.com/images/M/MV5BYTFkMjFmODgtYzRiZi00NmQwLTliZWMtMzRhMWQ5ZmY3ZDExXkEyXkFqcGc@._V1_SX300.jpg,Joe Johnston,"English, French",104 min
3,2,Grumpier Old Men (1995),"Comedy,Romance","comedy,good sequel,original,sequel,sequels",3.161618623232349,tt0113228,"Movie's title: Grumpier Old Men (1995)
genres: Comedy,Romance
tags: comedy,good sequel,original,sequel,sequels
plot: Things don't seem to change much in Wabasha County: Max and John are still fighting after 35 years, Grandpa still drinks, smokes, and chases women , and nobody's been able to catch the fabled ""Catfish Hunter"", a gigantic catfish that actually smiles at fishermen who try to snare it. Six months ago John married the new girl in town (Ariel), and people begin to suspect that Max might be missing something similar in his life. The only joy Max claims is left in his life is fishing, but that might change with the new owner of the bait shop. 
actors: Walter Matthau, Jack Lemmon, Ann-Margret
directors: Howard Deutch
language: English, Italian, German
runtime: 101 min","Walter Matthau, Jack Lemmon, Ann-Margret","Things don't seem to change much in Wabasha County: Max and John are still fighting after 35 years, Grandpa still drinks, smokes, and chases women , and nobody's been able to catch the fabled ""Catfish Hunter"", a gigantic catfish that actually smiles at fishermen who try to snare it. Six months ago John married the new girl in town (Ariel), and people begin to suspect that Max might be missing something similar in his life. The only joy Max claims is left in his life is fishing, but that might change with the new owner of the bait shop.",https://m.media-amazon.com/images/M/MV5BMjc0OWM2YTktZWYyMi00YzU1LTljYmEtYmMyNTRlMWFlMzI4XkEyXkFqcGc@._V1_SX300.jpg,Howard Deutch,"English, Italian, German",101 min
4,3,Waiting to Exhale (1995),"Comedy,Drama,Romance","chick flick,girlie movie,romantic,unlikely friendships,women",2.99083268665336,tt0114885,"Movie's title: Waiting to Exhale (1995)
genres: Comedy,Drama,Romance
tags: chick flick,girlie movie,romantic,unlikely friendships,women
plot: This story based on the best selling novel by Terry McMillan follows the lives of four African-American women as they try to deal with their very lives. Friendship becomes the strongest bond between these women as men, careers, and families take them in different directions. Often light-hearted this movie speaks about some of the problems and struggles the modern women face in today's world. 
actors: Whitney Houston, Angela Bassett, Loretta Devine
directors: Forest Whitaker
language: English
runtime: 124 min","Whitney Houston, Angela Bassett, Loretta Devine","This story based on the best selling novel by Terry McMillan follows the lives of four African-American women as they try to deal with their very lives. Friendship becomes the strongest bond between these women as men, careers, and families take them in different directions. Often light-hearted this movie speaks about some of the problems and struggles the modern women face in today's world.",https://m.media-amazon.com/images/M/MV5BZWU4NzA3MDQtODYyOS00OTliLTk3MGEtYzM2ZjNkZmI5ODk5XkEyXkFqcGc@._V1_SX300.jpg,Forest Whitaker,English,124 min
5,4,Father of the Bride Part II (1995),Comedy,"comedy,destiny,family,father daughter relationship,feel-good,funny,good sequel,original,parenthood,pregnancy,sequel,sequels,wedding",3.083969792516606,tt0113041,"Movie's title: Father of the Bride Part II (1995)
genres: Comedy
tags: comedy,destiny,family,father daughter relationship,feel-good,funny,good sequel,original,parenthood,pregnancy,sequel,sequels,wedding
plot: In this sequel to ""Father of the Bride"", George Banks must accept the reality of what his daughter's ascension from daughter to wife, and now, to mother means when placed into perspective against his own stage of life. As the comfortable family unit starts to unravel in his mind, a rapid progression into mid-life crisis is in his future. His journey to regain his youth acts as a catalyst for a kind of ""rebirth"" of his attitude on life when he and his wife, Nina, find how their lives are about to change as well. 
actors: Steve Martin, Diane Keaton, Martin Short
directors: Charles Shyer
language: English
runtime: 106 min","Steve Martin, Diane Keaton, Martin Short","In this sequel to ""Father of the Bride"", George Banks must accept the reality of what his daughter's ascension from daughter to wife, and now, to mother means when placed into perspective against his own stage of life. As the comfortable family unit starts to unravel in his mind, a rapid progression into mid-life crisis is in his future. His journey to regain his youth acts as a catalyst for a kind of ""rebirth"" of his attitude on life when he and his wife, Nina, find how their lives are about to change as well.",https://m.media-amazon.com/images/M/MV5BOTMwNzE2Y2YtNzZhMy00YTljLWI1MzQtMTI3YjkxYTg2NjRmXkEyXkFqcGc@._V1_SX300.jpg,Charles Shyer,English,106 min
6,5,Heat (1995),"Action,Crime,Thriller","action,bank robbery,chase,complex,complex characters,corruption,crime,dialogue,drama,ensemble cast,excellent script,fast paced,gangster,gangsters,good action,good soundtrack,great,great acting,great ending,great movie,gunfight,guns,heist,imdb top 250,intense,long,los angeles,masterpiece,mentor,organized crime,original,oscar (best directing),realistic,realistic action,relationships,storytelling,stylish,suspense,tense,vengeance,violence,violent,visceral",3.805540591970556,tt0113277,"Movie's title: Heat (1995)
genres: Action,Crime,Thriller
tags: action,bank robbery,chase,complex,complex characters,corruption,crime,dialogue,drama,ensemble cast,excellent script,fast paced,gangster,gangsters,good action,good soundtrack,great,great acting,great ending,great movie,gunfight,guns,heist,imdb top 250,intense,long,los angeles,masterpiece,mentor,organized crime,original,oscar (best directing),realistic,realistic action,relationships,storytelling,stylish,suspense,tense,vengeance,violence,violent,visceral
plot: Hunters and their prey--Neil and his professional criminal crew hunt to score big money targets (banks, vaults, armored cars) and are, in turn, hunted by Lt. Vincent Hanna and his team of cops in the Robbery/Homicide police division. A botched job puts Hanna onto their trail while they regroup and try to put together one last big 'retirement' score. Neil and Vincent are similar in many ways, including their troubled personal lives. At a crucial moment in his life, Neil disobeys the dictum taught to him long ago by his criminal mentor--'Never have anything in your life that you can't walk out on in thirty seconds flat, if you spot the heat coming around the corner'--as he falls in love. Thus the stage is set for the suspenseful ending.... 
actors: Al Pacino, Robert De Niro, Val Kilmer
directors: Michael Mann
language: English, Spanish
runtime: 170 min","Al Pacino, Robert De Niro, Val Kilmer","Hunters and their prey--Neil and his professional criminal crew hunt to score big money targets (banks, vaults, armored cars) and are, in turn, hunted by Lt. Vincent Hanna and his team of cops in the Robbery/Homicide police division. A botched job puts Hanna onto their trail while they regroup and try to put together one last big 'retirement' score. Neil and Vincent are similar in many ways, including their troubled personal lives. At a crucial moment in his life, Neil disobeys the dictum taught to him long ago by his criminal mentor--'Never have anything in your life that you can't walk out on in thirty seconds flat, if you spot the heat coming around the corner'--as he falls in love. Thus the stage is set for the suspenseful ending....",https://m.media-amazon.com/images/M/MV5BMTkxYjU1OTMtYWViZC00ZjAzLWI3MDktZGQ2N2VmMjVjNDRlXkEyXkFqcGc@._V1_SX300.jpg,Michael Mann,"English, Spanish",170 min
7,6,Sabrina (1995),"Comedy,Romance","based on a play,chick flick,destiny,girlie movie,good romantic comedies,happy ending,love story,original,paris,remake,romance,romantic,romantic comedy",3.3572552680082763,tt0114319,"Movie's title: Sabrina (1995)
genres: Comedy,Romance
tags: based on a play,chick flick,destiny,girlie movie,good romantic comedies,happy ending,love story,original,paris,remake,romance,romantic,romantic comedy
plot: While she was growing up, Sabrina Fairchild spent more time perched in a tree watching the Larrabee family than she ever did on solid ground. As the chauffeur's daughter on their lavish Long Island estate, Sabrina was invisible behind the branches, but she knew them all below - There is Maude Larrabee, the modern matriarch of the Larrabee Corporation; Linus Larrabee, the serious older son who expanded a successful family business into the world's largest communications company; and David, the handsome, fun-loving Larrabee, who was the center of Sabrina's world until she was shipped off to Paris. After two years on the staff of Vogue magazine, Sabrina has returned to the Larrabee estate but now she has blossomed into a beautiful and sophisticated woman. And she's standing in the way of a billion dollar deal. 
actors: Harrison Ford, Julia Ormond, Greg Kinnear
directors: Sydney Pollack
language: English, French
runtime: 127 min","Harrison Ford, Julia Ormond, Greg Kinnear","While she was growing up, Sabrina Fairchild spent more time perched in a tree watching the Larrabee family than she ever did on solid ground. As the chauffeur's daughter on their lavish Long Island estate, Sabrina was invisible behind the branches, but she knew them all below - There is Maude Larrabee, the modern matriarch of the Larrabee Corporation; Linus Larrabee, the serious older son who expanded a successful family business into the world's largest communications company; and David, the handsome, fun-loving Larrabee, who was the center of Sabrina's world until she was shipped off to Paris. After two years on the staff of Vogue magazine, Sabrina has returned to the Larrabee estate but now she has blossomed into a beautiful and sophisticated woman. And she's standing in the way of a billion dollar deal.",https://m.media-amazon.com/images/M/MV5BNGZiMmM3YjEtZmQ3Zi00OTQxLTk5MGQtOTBhMDM1MWVkNzFmXkEyXkFqcGc@._V1_SX300.jpg,Sydney Pollack,"English, French",127 min
8,7,Tom and Huck (1995),"Adventure,Children","adapted from:book,adventure,based on a book,childhood,drama,friendship,unlikely friendships",3.2010377079432875,tt0112302,"Movie's title: Tom and Huck (1995)
genres: Adventure,Children
tags: adapted from:book,adventure,based on a book,childhood,drama,friendship,unlikely friendships
plot: Tom Sawyer is a mischievous young boy, growing up in a small US town in the mid-1800s. He finds a friend in Huckleberry Finn, a vagrant and outcast, and the two get up to all sorts of boyish adventures. While on one of these adventures they witness a murder, leaving Tom with a dilemma. 
actors: Jonathan Taylor Thomas, Brad Renfro, Charles Rocket
directors: Peter Hewitt
language: English
runtime: 97 min","Jonathan Taylor Thomas, Brad Renfro, Charles Rocket","Tom Sawyer is a mischievous young boy, growing up in a small US town in the mid-1800s. He finds a friend in Huckleberry Finn, a vagrant and outcast, and the two get up to all sorts of boyish adventures. While on one of these adventures they witness a murder, leaving Tom with a dilemma.",https://m.media-amazon.com/images/M/MV5BOGRlOTlkMDYtYjM4Ny00MGJhLWEyZGItMGYxYzUzNWQ1YWQ4XkEyXkFqcGc@._V1_SX300.jpg,Peter Hewitt,English,97 min
9,8,Sudden Death (1995),Action,"action,action packed,chase,explosions,fight scenes,good action,lone hero,secret service,single father,video game adaptation",3.0692618587578,tt0114576,"Movie's title: Sudden Death (1995)
genres: Action
tags: action,action packed,chase,explosions,fight scenes,good action,lone hero,secret service,single father,video game adaptation
plot: Darren McCord takes his two kids to a Pittsburgh Penguins National Hockey League play-off game, unknowing that the sports arena has been taken over by terrorists, who are holding the Vice President of the United States, as well as many other high-ranking officials hostage. Darren later becomes the only one who is aware of the situation. And, the stakes are raised when the terrorists announce that they will blow-up the building at the end of the game. Therefore, Darren must not only subdue the terrorists, but postpone the game and send it to overtime. 
actors: Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry
directors: Peter Hyams
language: English
runtime: 111 min","Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry","Darren McCord takes his two kids to a Pittsburgh Penguins National Hockey League play-off game, unknowing that the sports arena has been taken over by terrorists, who are holding the Vice President of the United States, as well as many other high-ranking officials hostage. Darren later becomes the only one who is aware of the situation. And, the stakes are raised when the terrorists announce that they will blow-up the building at the end of the game. Therefore, Darren must not only subdue the terrorists, but postpone the game and send it to overtime.",https://m.media-amazon.com/images/M/MV5BZmUwYmQ1MGYtNDk4MC00YjkyLTg2YTktZmE3NmZkZDY2MGE1XkEyXkFqcGc@._V1_SX300.jpg,Peter Hyams,English,111 min
10,9,GoldenEye (1995),"Action,Adventure,Thriller","007,007 (series),action,adventure,assassin,bond,chase,cold war,espionage,franchise,good,good action,james bond,secret service,secrets,series,spies,spy,spying",3.422960481011913,tt0113189,"Movie's title: GoldenEye (1995)
genres: Action,Adventure,Thriller
tags: 007,007 (series),action,adventure,assassin,bond,chase,cold war,espionage,franchise,good,good action,james bond,secret service,secrets,series,spies,spy,spying
plot: When a deadly satellite weapon system falls into the wrong hands, only Agent James Bond 007 (Pierce Brosnan) can save the world from certain disaster. Armed with his licence to kill, Bond races to Russia in search of the stolen access codes for ""GoldenEye"", an awesome space weapon that can fire a devastating electromagnetic pulse toward Earth. But 007 is up against an enemy who anticipates his every move: a mastermind motivated by years of simmering hatred. Bond also squares off against Xenia Onatopp (Famke Janssen), an assassin who uses pleasure as her ultimate weapon. 
actors: Pierce Brosnan, Sean Bean, Izabella Scorupco
directors: Martin Campbell
language: English, Russian, Spanish
runtime: 130 min","Pierce Brosnan, Sean Bean, Izabella Scorupco","When a deadly satellite weapon system falls into the wrong hands, only Agent James Bond 007 (Pierce Brosnan) can save the world from certain disaster. Armed with his licence to kill, Bond races to Russia in search of the stolen access codes for ""GoldenEye"", an awesome space weapon that can fire a devastating electromagnetic pulse toward Earth. But 007 is up against an enemy who anticipates his every move: a mastermind motivated by years of simmering hatred. Bond also squares off against Xenia Onatopp (Famke Janssen), an assassin who uses pleasure as her ultimate weapon.",https://m.media-amazon.com/images/M/MV5BOGQxNmYyY2YtZGIyNy00ODgxLThhZWEtZGIyNjJhYzFlOTllXkEyXkFqcGc@._V1_SX300.jpg,Martin Campbell,"English, Russian, Spanish",130 min
