movieId,vectorID,title,genres,tags,weight_rating,imdbId,page_content
1,0,Toy Story (1995),"Adventure,Animation,Children,Comedy,Fantasy","adventure,animated,animation,cartoon,cgi,childhood,children,classic,clever,computer animation,cute,disney,disney animated feature,entertaining,family,feel-good,friendship,fun,fun movie,good,good soundtrack,great,great movie,heartwarming,imdb top 250,kids,kids and family,light,nostalgic,original,original plot,oscar (best animated feature),oscar winner,pixar,pixar animation,story,storytelling,technology,toys,unlikely friendships,very good,whimsical,witty",3.9045164697924513,tt0114709,"Movie's title: Toy Story (1995)
genres: Adventure,Animation,Children,Comedy,Fantasy
tags: adventure,animated,animation,cartoon,cgi,childhood,children,classic,clever,computer animation,cute,disney,disney animated feature,entertaining,family,feel-good,friendship,fun,fun movie,good,good soundtrack,great,great movie,heartwarming,imdb top 250,kids,kids and family,light,nostalgic,original,original plot,oscar (best animated feature),oscar winner,pixar,pixar animation,story,storytelling,technology,toys,unlikely friendships,very good,whimsical,witty"
2,1,Jumanji (1995),"Adventure,Children,Fantasy","adventure,animals,big budget,childhood,children,computer game,entertaining,family,fantasy,fun,fun movie,good,jungle,kids,lions,original,special effects,video game",3.2149181233090958,tt0113497,"Movie's title: Jumanji (1995)
genres: Adventure,Children,Fantasy
tags: adventure,animals,big budget,childhood,children,computer game,entertaining,family,fantasy,fun,fun movie,good,jungle,kids,lions,original,special effects,video game"
3,2,Grumpier Old Men (1995),"Comedy,Romance","comedy,good sequel,original,sequel,sequels",3.1616186232323495,tt0113228,"Movie's title: Grumpier Old Men (1995)
genres: Comedy,Romance
tags: comedy,good sequel,original,sequel,sequels"
4,3,Waiting to Exhale (1995),"Comedy,Drama,Romance","chick flick,girlie movie,romantic,unlikely friendships,women",2.99083268665336,tt0114885,"Movie's title: Waiting to Exhale (1995)
genres: Comedy,Drama,Romance
tags: chick flick,girlie movie,romantic,unlikely friendships,women"
5,4,Father of the Bride Part II (1995),Comedy,"comedy,destiny,family,father daughter relationship,feel-good,funny,good sequel,original,parenthood,pregnancy,sequel,sequels,wedding",3.083969792516606,tt0113041,"Movie's title: Father of the Bride Part II (1995)
genres: Comedy
tags: comedy,destiny,family,father daughter relationship,feel-good,funny,good sequel,original,parenthood,pregnancy,sequel,sequels,wedding"
6,5,Heat (1995),"Action,Crime,Thriller","action,bank robbery,chase,complex,complex characters,corruption,crime,dialogue,drama,ensemble cast,excellent script,fast paced,gangster,gangsters,good action,good soundtrack,great,great acting,great ending,great movie,gunfight,guns,heist,imdb top 250,intense,long,los angeles,masterpiece,mentor,organized crime,original,oscar (best directing),realistic,realistic action,relationships,storytelling,stylish,suspense,tense,vengeance,violence,violent,visceral",3.805540591970556,tt0113277,"Movie's title: Heat (1995)
genres: Action,Crime,Thriller
tags: action,bank robbery,chase,complex,complex characters,corruption,crime,dialogue,drama,ensemble cast,excellent script,fast paced,gangster,gangsters,good action,good soundtrack,great,great acting,great ending,great movie,gunfight,guns,heist,imdb top 250,intense,long,los angeles,masterpiece,mentor,organized crime,original,oscar (best directing),realistic,realistic action,relationships,storytelling,stylish,suspense,tense,vengeance,violence,violent,visceral"
7,6,Sabrina (1995),"Comedy,Romance","based on a play,chick flick,destiny,girlie movie,good romantic comedies,happy ending,love story,original,paris,remake,romance,romantic,romantic comedy",3.3572552680082763,tt0114319,"Movie's title: Sabrina (1995)
genres: Comedy,Romance
tags: based on a play,chick flick,destiny,girlie movie,good romantic comedies,happy ending,love story,original,paris,remake,romance,romantic,romantic comedy"
8,7,Tom and Huck (1995),"Adventure,Children","adapted from:book,adventure,based on a book,childhood,drama,friendship,unlikely friendships",3.2010377079432875,tt0112302,"Movie's title: Tom and Huck (1995)
genres: Adventure,Children
tags: adapted from:book,adventure,based on a book,childhood,drama,friendship,unlikely friendships"
9,8,Sudden Death (1995),Action,"action,action packed,chase,explosions,fight scenes,good action,lone hero,secret service,single father,video game adaptation",3.0692618587577996,tt0114576,"Movie's title: Sudden Death (1995)
genres: Action
tags: action,action packed,chase,explosions,fight scenes,good action,lone hero,secret service,single father,video game adaptation"
10,9,GoldenEye (1995),"Action,Adventure,Thriller","007,007 (series),action,adventure,assassin,bond,chase,cold war,espionage,franchise,good,good action,james bond,secret service,secrets,series,spies,spy,spying",3.422960481011913,tt0113189,"Movie's title: GoldenEye (1995)
genres: Action,Adventure,Thriller
tags: 007,007 (series),action,adventure,assassin,bond,chase,cold war,espionage,franchise,good,good action,james bond,secret service,secrets,series,spies,spy,spying"
